DNI,Nombre,APELLIDO,Edad,SEMESTRE,PROmEDIO,Deuda,CIUDAD
1023456789,Juan,Gómez,20,Quinto,2.62,400000,Cartagena
3045678912,María,Rodríguez,21,Primero,2.7,400000,Bogotá
5067891234,Carlos,López,23,Primero,0.55,1000000,Cartagena
7089123456,Ana,Martínez,27,Primero,4.32,1000000,Cali
9012345678,José,Pérez,22,Quinto,1.81,10000,Medellín
1234567890,Laura,Torres,18,Primero,2.69,200000,Bogotá
3456789012,Luis,Ramírez,23,Quinto,1.71,0,Bogotá
5678901234,Elena,Castro,24,Tercero,3.85,400000,Cali
7890123456,Andrés,Vargas,20,Primero,3.93,400000,Cartagena
8901234567,Claudia,Díaz,28,Quinto,2.91,200000,Cali
2034567891,Pedro,Moreno,27,Cuarto,1.21,1000000,Bogotá
4056789123,Sofía,Sánchez,24,Cuarto,4.82,30000,Barranquilla
6078912345,Daniel,Ruiz,27,Segundo,1.7,1000000,Cartagena
8091234567,Valentina,León,26,Tercero,4.65,1000000,Cali
9123456780,Francisco,Romero,21,Quinto,3.86,400000,Cali
1245678903,Carolina,Hernández,22,Quinto,0.79,200000,Barranquilla
3467890125,Santiago,Mejía,25,Segundo,3.83,0,Barranquilla
5689012347,Camila,Silva,20,Primero,1.23,200000,Barranquilla
7891234560,Alejandro,Gómez,25,Quinto,4.59,30000,Barranquilla
8901235674,Natalia,Ortega,26,Primero,3.55,200000,Cali
2013456789,Julián,Vargas,25,Quinto,2.16,400000,Bogotá
4025678913,Martina,Delgado,21,Segundo,3.53,1000000,Cali
6047891235,Mauricio,Medina,21,Tercero,3.13,10000,Barranquilla
8069123457,Daniela,Castaño,26,Segundo,0.64,1000000,Cartagena
9071234568,Felipe,Bernal,19,Quinto,4.22,1000000,Cali
1234567809,Gabriela,Paredes,22,Primero,2.74,400000,Bogotá
3456789120,Eduardo,Solano,23,Cuarto,1.23,1000000,Cartagena
5678912342,Lucía,Álvarez,18,Primero,4.87,200000,Bogotá
7890123465,Manuela,Montoya,20,Primero,2.94,400000,Cartagena
8901234578,Cristian,Peña,22,Quinto,0.8,30000,Cartagena
2034567812,Antonia,Cardona,28,Tercero,2.84,400000,Medellín
4056789124,Rodrigo,Ramírez,19,Primero,4.39,0,Cartagena
6078912346,Isabella,Estrada,20,Primero,0.32,0,Barranquilla
8091234570,Esteban,Suárez,22,Quinto,2.21,1000000,Cartagena
9123456783,Mariana,Guzmán,20,Tercero,1.04,30000,Barranquilla
1245678905,David,Valencia,27,Primero,2.77,400000,Bogotá
3467890127,Sara,Ríos,25,Cuarto,3.26,200000,Cali
5689012349,Nicolás,Arango,24,Segundo,2.76,30000,Cartagena
7891234561,Angela,Navarro,24,Primero,2.64,400000,Medellín
8901235673,Javier,Correa,28,Primero,3.15,0,Medellín
2013456798,Patricia,Ospina,19,Quinto,0.15,1000000,Bogotá
4025678915,Andrés,Garzón,19,Quinto,4.04,10000,Medellín
6047891237,Mónica,Quiñones,26,Cuarto,4.19,10000,Bogotá
8069123459,Jonathan,Villalobos,20,Segundo,2.46,200000,Cartagena
9071234560,Paola,Murillo,21,Cuarto,4.13,30000,Cartagena
1234567808,Fernando,Peralta,19,Primero,2.52,0,Cartagena
3456789121,Teresa,Buitrago,18,Cuarto,2.79,1000000,Barranquilla
5678912340,Ricardo,Bohórquez,27,Segundo,3.34,0,Cali
7890123467,Luisa,Meneses,26,Quinto,3.38,10000,Barranquilla
8901234579,Diana,Bautista,28,Segundo,3.17,30000,Cartagena
